,year,state,state_po,county,candidate,party,candidatevotes,totalvotes,percent_democrat
43160,2016,Kansas,KS,Edwards,Hillary Clinton,democrat,212.0,1319,16.07278241091736
43163,2016,Kansas,KS,Elk,Hillary Clinton,democrat,160.0,1259,12.708498808578236
43166,2016,Kansas,KS,Ellis,Hillary Clinton,democrat,2742.0,11947,22.951368544404453
43169,2016,Kansas,KS,Ellsworth,Hillary Clinton,democrat,521.0,2679,19.44755505785741
43172,2016,Kansas,KS,Finney,Hillary Clinton,democrat,3195.0,10159,31.449945860813074
43175,2016,Kansas,KS,Ford,Hillary Clinton,democrat,2149.0,7718,27.844001036537964
43178,2016,Kansas,KS,Franklin,Hillary Clinton,democrat,2892.0,10965,26.37482900136799
43181,2016,Kansas,KS,Geary,Hillary Clinton,democrat,2722.0,7504,36.27398720682303
43184,2016,Kansas,KS,Gove,Hillary Clinton,democrat,149.0,1343,11.094564408041698
43187,2016,Kansas,KS,Graham,Hillary Clinton,democrat,188.0,1284,14.641744548286603
43190,2016,Kansas,KS,Grant,Hillary Clinton,democrat,441.0,2389,18.45960652992884
43193,2016,Kansas,KS,Gray,Hillary Clinton,democrat,263.0,2066,12.729912875121007
43196,2016,Kansas,KS,Greeley,Hillary Clinton,democrat,83.0,650,12.769230769230768
43199,2016,Kansas,KS,Greenwood,Hillary Clinton,democrat,485.0,2840,17.077464788732392
43202,2016,Kansas,KS,Hamilton,Hillary Clinton,democrat,121.0,876,13.812785388127855
43205,2016,Kansas,KS,Harper,Hillary Clinton,democrat,393.0,2578,15.244375484871995
43208,2016,Kansas,KS,Harvey,Hillary Clinton,democrat,5068.0,14916,33.97693751676052
43211,2016,Kansas,KS,Haskell,Hillary Clinton,democrat,245.0,1354,18.09453471196455
43214,2016,Kansas,KS,Hodgeman,Hillary Clinton,democrat,124.0,1017,12.192723697148477
43217,2016,Kansas,KS,Jackson,Hillary Clinton,democrat,1512.0,5818,25.98831213475421
43220,2016,Kansas,KS,Jefferson,Hillary Clinton,democrat,2518.0,8337,30.202710807244813
43223,2016,Kansas,KS,Jewell,Hillary Clinton,democrat,180.0,1494,12.048192771084338
43226,2016,Kansas,KS,Johnson,Hillary Clinton,democrat,129852.0,290090,44.76265986418008
43229,2016,Kansas,KS,Kearny,Hillary Clinton,democrat,174.0,1316,13.221884498480243
43232,2016,Kansas,KS,Kingman,Hillary Clinton,democrat,599.0,3334,17.96640671865627
43235,2016,Kansas,KS,Kiowa,Hillary Clinton,democrat,114.0,1079,10.56533827618165
43238,2016,Kansas,KS,Labette,Hillary Clinton,democrat,2291.0,8107,28.259528802269646
43241,2016,Kansas,KS,Lane,Hillary Clinton,democrat,106.0,871,12.169919632606199
43244,2016,Kansas,KS,Leavenworth,Hillary Clinton,democrat,10209.0,30301,33.691957361143196
43247,2016,Kansas,KS,Lincoln,Hillary Clinton,democrat,215.0,1464,14.685792349726775
43250,2016,Kansas,KS,Linn,Hillary Clinton,democrat,736.0,4427,16.62525412243054
43253,2016,Kansas,KS,Logan,Hillary Clinton,democrat,149.0,1357,10.980103168754605
43256,2016,Kansas,KS,Lyon,Hillary Clinton,democrat,4649.0,12288,37.83365885416667
43259,2016,Kansas,KS,McPherson,Hillary Clinton,democrat,3226.0,12742,25.317846491916495
43262,2016,Kansas,KS,Marion,Hillary Clinton,democrat,1204.0,5624,21.408250355618776
43265,2016,Kansas,KS,Marshall,Hillary Clinton,democrat,1072.0,4673,22.940295313503103
43268,2016,Kansas,KS,Meade,Hillary Clinton,democrat,210.0,1720,12.209302325581394
43271,2016,Kansas,KS,Miami,Hillary Clinton,democrat,3991.0,15022,26.56770070563174
43274,2016,Kansas,KS,Mitchell,Hillary Clinton,democrat,477.0,2942,16.213460231135283
43277,2016,Kansas,KS,Montgomery,Hillary Clinton,democrat,2637.0,12004,21.96767744085305
43280,2016,Kansas,KS,Morris,Hillary Clinton,democrat,601.0,2624,22.903963414634145
43283,2016,Kansas,KS,Morton,Hillary Clinton,democrat,147.0,1192,12.332214765100671
43286,2016,Kansas,KS,Nemaha,Hillary Clinton,democrat,725.0,5122,14.154627098789534
43289,2016,Kansas,KS,Neosho,Hillary Clinton,democrat,1501.0,6314,23.772568894520113
43292,2016,Kansas,KS,Ness,Hillary Clinton,democrat,162.0,1454,11.141678129298487
43295,2016,Kansas,KS,Norton,Hillary Clinton,democrat,281.0,2234,12.578334825425246
43298,2016,Kansas,KS,Osage,Hillary Clinton,democrat,1753.0,7046,24.87936417825717
43301,2016,Kansas,KS,Osborne,Hillary Clinton,democrat,233.0,1788,13.031319910514542
43304,2016,Kansas,KS,Ottawa,Hillary Clinton,democrat,424.0,2903,14.605580434033758
43307,2016,Kansas,KS,Pawnee,Hillary Clinton,democrat,579.0,2661,21.758737316798197
43310,2016,Kansas,KS,Phillips,Hillary Clinton,democrat,300.0,2664,11.26126126126126
43313,2016,Kansas,KS,Pottawatomie,Hillary Clinton,democrat,2225.0,10693,20.80800523707098
43316,2016,Kansas,KS,Pratt,Hillary Clinton,democrat,771.0,3842,20.067673086933887
43319,2016,Kansas,KS,Rawlins,Hillary Clinton,democrat,163.0,1472,11.073369565217392
43322,2016,Kansas,KS,Reno,Hillary Clinton,democrat,6837.0,24210,28.24039653035936
43325,2016,Kansas,KS,Republic,Hillary Clinton,democrat,375.0,2529,14.827995255041518
43328,2016,Kansas,KS,Rice,Hillary Clinton,democrat,695.0,3804,18.27024185068349
43331,2016,Kansas,KS,Riley,Hillary Clinton,democrat,9341.0,21532,43.38194315437489
43334,2016,Kansas,KS,Rooks,Hillary Clinton,democrat,275.0,2419,11.368334022323275
43337,2016,Kansas,KS,Rush,Hillary Clinton,democrat,233.0,1503,15.502328675981369
43340,2016,Kansas,KS,Russell,Hillary Clinton,democrat,461.0,3193,14.437832759160665
43343,2016,Kansas,KS,Saline,Hillary Clinton,democrat,6317.0,22064,28.63034807831762
43346,2016,Kansas,KS,Scott,Hillary Clinton,democrat,236.0,2202,10.717529518619436
43349,2016,Kansas,KS,Sedgwick,Hillary Clinton,democrat,69627.0,188783,36.88202857248799
43352,2016,Kansas,KS,Seward,Hillary Clinton,democrat,1628.0,5038,32.314410480349345
43355,2016,Kansas,KS,Shawnee,Hillary Clinton,democrat,33926.0,75406,44.99111476540328
43358,2016,Kansas,KS,Sheridan,Hillary Clinton,democrat,127.0,1374,9.243085880640466
43361,2016,Kansas,KS,Sherman,Hillary Clinton,democrat,347.0,2612,13.284839203675345
43364,2016,Kansas,KS,Smith,Hillary Clinton,democrat,297.0,2042,14.54456415279138
43367,2016,Kansas,KS,Stafford,Hillary Clinton,democrat,304.0,1896,16.033755274261605
43370,2016,Kansas,KS,Stanton,Hillary Clinton,democrat,115.0,637,18.053375196232338
43373,2016,Kansas,KS,Stevens,Hillary Clinton,democrat,220.0,1891,11.634056054997357
43376,2016,Kansas,KS,Sumner,Hillary Clinton,democrat,2076.0,9722,21.353630940135773
43379,2016,Kansas,KS,Thomas,Hillary Clinton,democrat,473.0,3576,13.227069351230424
43382,2016,Kansas,KS,Trego,Hillary Clinton,democrat,198.0,1482,13.360323886639677
43385,2016,Kansas,KS,Wabaunsee,Hillary Clinton,democrat,776.0,3380,22.958579881656803
43388,2016,Kansas,KS,Wallace,Hillary Clinton,democrat,46.0,798,5.764411027568922
43391,2016,Kansas,KS,Washington,Hillary Clinton,democrat,387.0,2765,13.99638336347197
43394,2016,Kansas,KS,Wichita,Hillary Clinton,democrat,140.0,956,14.644351464435147
43397,2016,Kansas,KS,Wilson,Hillary Clinton,democrat,594.0,3591,16.541353383458645
43400,2016,Kansas,KS,Woodson,Hillary Clinton,democrat,273.0,1443,18.91891891891892
43403,2016,Kansas,KS,Wyandotte,Hillary Clinton,democrat,30146.0,48781,61.798651114163306
43406,2016,Kentucky,KY,Adair,Hillary Clinton,democrat,1323.0,8233,16.06947649702417
43409,2016,Kentucky,KY,Allen,Hillary Clinton,democrat,1349.0,8096,16.662549407114625
43412,2016,Kentucky,KY,Anderson,Hillary Clinton,democrat,2634.0,11422,23.060759936963755
43415,2016,Kentucky,KY,Ballard,Hillary Clinton,democrat,816.0,4101,19.89758595464521
43418,2016,Kentucky,KY,Barren,Hillary Clinton,democrat,4275.0,18488,23.12310688013847
43421,2016,Kentucky,KY,Bath,Hillary Clinton,democrat,1361.0,4587,29.670808807499455
43424,2016,Kentucky,KY,Bell,Hillary Clinton,democrat,1720.0,9718,17.699115044247787
43427,2016,Kentucky,KY,Boone,Hillary Clinton,democrat,15026.0,57618,26.07865597556319
43430,2016,Kentucky,KY,Bourbon,Hillary Clinton,democrat,2791.0,8803,31.70510053390889
43433,2016,Kentucky,KY,Boyd,Hillary Clinton,democrat,6021.0,20454,29.436784980932824
43436,2016,Kentucky,KY,Boyle,Hillary Clinton,democrat,4281.0,12946,33.068129151861584
43439,2016,Kentucky,KY,Bracken,Hillary Clinton,democrat,705.0,3527,19.988658916926568
43442,2016,Kentucky,KY,Breathitt,Hillary Clinton,democrat,1537.0,5738,26.78633670268386
43445,2016,Kentucky,KY,Breckinridge,Hillary Clinton,democrat,1960.0,8774,22.338728060177797
43448,2016,Kentucky,KY,Bullitt,Hillary Clinton,democrat,8255.0,36069,22.88668940087055
43451,2016,Kentucky,KY,Butler,Hillary Clinton,democrat,947.0,5576,16.983500717360116
43454,2016,Kentucky,KY,Caldwell,Hillary Clinton,democrat,1260.0,5975,21.08786610878661
43457,2016,Kentucky,KY,Calloway,Hillary Clinton,democrat,4749.0,16049,29.590628699607453
43460,2016,Kentucky,KY,Campbell,Hillary Clinton,democrat,14658.0,42510,34.48129851799577
43463,2016,Kentucky,KY,Carlisle,Hillary Clinton,democrat,432.0,2601,16.608996539792386
43466,2016,Kentucky,KY,Carroll,Hillary Clinton,democrat,1106.0,3855,28.69001297016861
43469,2016,Kentucky,KY,Carter,Hillary Clinton,democrat,2276.0,10278,22.144386067328274
43472,2016,Kentucky,KY,Casey,Hillary Clinton,democrat,767.0,6439,11.91178754464979
43475,2016,Kentucky,KY,Christian,Hillary Clinton,democrat,7188.0,22083,32.54992528189105
43478,2016,Kentucky,KY,Clark,Hillary Clinton,democrat,4706.0,16205,29.040419623572973
43481,2016,Kentucky,KY,Clay,Hillary Clinton,democrat,752.0,6767,11.112753066351411
43484,2016,Kentucky,KY,Clinton,Hillary Clinton,democrat,547.0,4462,12.259076647243388
43487,2016,Kentucky,KY,Crittenden,Hillary Clinton,democrat,617.0,4037,15.283626455288582
43490,2016,Kentucky,KY,Cumberland,Hillary Clinton,democrat,459.0,3066,14.9706457925636
43493,2016,Kentucky,KY,Daviess,Hillary Clinton,democrat,14163.0,45807,30.918855196803978
43496,2016,Kentucky,KY,Edmonson,Hillary Clinton,democrat,979.0,5244,18.66895499618612
43499,2016,Kentucky,KY,Elliott,Hillary Clinton,democrat,740.0,2855,25.91943957968476
43502,2016,Kentucky,KY,Estill,Hillary Clinton,democrat,1108.0,5545,19.981965734896303
43505,2016,Kentucky,KY,Fayette,Hillary Clinton,democrat,69778.0,136315,51.18879066867182
43508,2016,Kentucky,KY,Fleming,Hillary Clinton,democrat,1348.0,6260,21.533546325878593
43511,2016,Kentucky,KY,Floyd,Hillary Clinton,democrat,4015.0,16540,24.274486094316806
43514,2016,Kentucky,KY,Franklin,Hillary Clinton,democrat,10717.0,23865,44.90676723234863
43517,2016,Kentucky,KY,Fulton,Hillary Clinton,democrat,774.0,2382,32.49370277078086
43520,2016,Kentucky,KY,Gallatin,Hillary Clinton,democrat,749.0,3338,22.43858597962852
43523,2016,Kentucky,KY,Garrard,Hillary Clinton,democrat,1453.0,7623,19.060737242555426
43526,2016,Kentucky,KY,Grant,Hillary Clinton,democrat,1910.0,9559,19.981169578407783
43529,2016,Kentucky,KY,Graves,Hillary Clinton,democrat,3308.0,16606,19.920510658798023
43532,2016,Kentucky,KY,Grayson,Hillary Clinton,democrat,1959.0,10576,18.52307110438729
43535,2016,Kentucky,KY,Green,Hillary Clinton,democrat,832.0,5333,15.600975060941307
43538,2016,Kentucky,KY,Greenup,Hillary Clinton,democrat,4146.0,16277,25.471524236652947
43541,2016,Kentucky,KY,Hancock,Hillary Clinton,democrat,1244.0,4295,28.9639115250291
43544,2016,Kentucky,KY,Hardin,Hillary Clinton,democrat,13944.0,43156,32.31068681064046
43547,2016,Kentucky,KY,Harlan,Hillary Clinton,democrat,1372.0,10757,12.754485451334016
43550,2016,Kentucky,KY,Harrison,Hillary Clinton,democrat,2031.0,7781,26.102043439146637
43553,2016,Kentucky,KY,Hart,Hillary Clinton,democrat,1730.0,7264,23.816079295154186
43556,2016,Kentucky,KY,Henderson,Hillary Clinton,democrat,6707.0,19710,34.02841197361745
43559,2016,Kentucky,KY,Henry,Hillary Clinton,democrat,1828.0,7149,25.57000979157924
43562,2016,Kentucky,KY,Hickman,Hillary Clinton,democrat,449.0,2157,20.815948076031525
43565,2016,Kentucky,KY,Hopkins,Hillary Clinton,democrat,4310.0,20345,21.184566232489555
43568,2016,Kentucky,KY,Jackson,Hillary Clinton,democrat,482.0,5501,8.762043264860935
43571,2016,Kentucky,KY,Jefferson,Hillary Clinton,democrat,190836.0,353099,54.046032415838056
43574,2016,Kentucky,KY,Jessamine,Hillary Clinton,democrat,6144.0,23326,26.33970676498328
43577,2016,Kentucky,KY,Johnson,Hillary Clinton,democrat,1250.0,9572,13.058921855411617
43580,2016,Kentucky,KY,Kenton,Hillary Clinton,democrat,24214.0,71998,33.63148976360454
43583,2016,Kentucky,KY,Knott,Hillary Clinton,democrat,1245.0,5763,21.603331598125976
43586,2016,Kentucky,KY,Knox,Hillary Clinton,democrat,1761.0,12012,14.66033966033966
43589,2016,Kentucky,KY,Larue,Hillary Clinton,democrat,1278.0,6367,20.072247526307525
43592,2016,Kentucky,KY,Laurel,Hillary Clinton,democrat,3440.0,24833,13.85253493335481
43595,2016,Kentucky,KY,Lawrence,Hillary Clinton,democrat,1045.0,6042,17.29559748427673
43598,2016,Kentucky,KY,Lee,Hillary Clinton,democrat,444.0,2667,16.647919010123736
43601,2016,Kentucky,KY,Leslie,Hillary Clinton,democrat,400.0,4492,8.904719501335707
43604,2016,Kentucky,KY,Letcher,Hillary Clinton,democrat,1542.0,9134,16.88197941756076
43607,2016,Kentucky,KY,Lewis,Hillary Clinton,democrat,785.0,5298,14.816912042280105
43610,2016,Kentucky,KY,Lincoln,Hillary Clinton,democrat,1865.0,9561,19.506327789980126
43613,2016,Kentucky,KY,Livingston,Hillary Clinton,democrat,887.0,4645,19.095801937567277
43616,2016,Kentucky,KY,Logan,Hillary Clinton,democrat,2755.0,10899,25.277548398935686
43619,2016,Kentucky,KY,Lyon,Hillary Clinton,democrat,1045.0,3962,26.375567895002522
43622,2016,Kentucky,KY,McCracken,Hillary Clinton,democrat,9134.0,31307,29.175583735266876
43625,2016,Kentucky,KY,McCreary,Hillary Clinton,democrat,664.0,5776,11.49584487534626
43628,2016,Kentucky,KY,McLean,Hillary Clinton,democrat,988.0,4566,21.638195356986422
43631,2016,Kentucky,KY,Madison,Hillary Clinton,democrat,11793.0,37371,31.556554547643895
43634,2016,Kentucky,KY,Magoffin,Hillary Clinton,democrat,1172.0,5116,22.90852228303362
43637,2016,Kentucky,KY,Marion,Hillary Clinton,democrat,2679.0,8111,33.029219578350386
43640,2016,Kentucky,KY,Marshall,Hillary Clinton,democrat,3672.0,16698,21.990657563780093
43643,2016,Kentucky,KY,Martin,Hillary Clinton,democrat,363.0,3953,9.182899064002024
43646,2016,Kentucky,KY,Mason,Hillary Clinton,democrat,1970.0,7219,27.289098213048902
43649,2016,Kentucky,KY,Meade,Hillary Clinton,democrat,3026.0,12231,24.74041370288611
43652,2016,Kentucky,KY,Menifee,Hillary Clinton,democrat,700.0,2779,25.188916876574307
43655,2016,Kentucky,KY,Mercer,Hillary Clinton,democrat,2395.0,10585,22.62635805384979
43658,2016,Kentucky,KY,Metcalfe,Hillary Clinton,democrat,976.0,4620,21.125541125541126
43661,2016,Kentucky,KY,Monroe,Hillary Clinton,democrat,601.0,4991,12.04167501502705
43664,2016,Kentucky,KY,Montgomery,Hillary Clinton,democrat,3158.0,11452,27.57596926301083
43667,2016,Kentucky,KY,Morgan,Hillary Clinton,democrat,1006.0,4775,21.06806282722513
43670,2016,Kentucky,KY,Muhlenberg,Hillary Clinton,democrat,3272.0,13060,25.053598774885145
43673,2016,Kentucky,KY,Nelson,Hillary Clinton,democrat,6434.0,20802,30.92971829631766
43676,2016,Kentucky,KY,Nicholas,Hillary Clinton,democrat,787.0,2841,27.701513551566347
43679,2016,Kentucky,KY,Ohio,Hillary Clinton,democrat,2080.0,10398,20.003846893633394
43682,2016,Kentucky,KY,Oldham,Hillary Clinton,democrat,10268.0,32853,31.254375551699997
43685,2016,Kentucky,KY,Owen,Hillary Clinton,democrat,1062.0,5001,21.235752849430114
43688,2016,Kentucky,KY,Owsley,Hillary Clinton,democrat,256.0,1759,14.553723706651505
43691,2016,Kentucky,KY,Pendleton,Hillary Clinton,democrat,1164.0,6007,19.37739304145164
43694,2016,Kentucky,KY,Perry,Hillary Clinton,democrat,2136.0,10572,20.204313280363223
43697,2016,Kentucky,KY,Pike,Hillary Clinton,democrat,4280.0,24665,17.35252381917697
43700,2016,Kentucky,KY,Powell,Hillary Clinton,democrat,1272.0,4957,25.660681864030664
43703,2016,Kentucky,KY,Pulaski,Hillary Clinton,democrat,4208.0,28041,15.006597482258123
43706,2016,Kentucky,KY,Robertson,Hillary Clinton,democrat,222.0,1013,21.915103652517274
43709,2016,Kentucky,KY,Rockcastle,Hillary Clinton,democrat,915.0,6691,13.675085936332387
43712,2016,Kentucky,KY,Rowan,Hillary Clinton,democrat,3295.0,8848,37.240054249547924
43715,2016,Kentucky,KY,Russell,Hillary Clinton,democrat,1093.0,8174,13.371666258869585
43718,2016,Kentucky,KY,Scott,Hillary Clinton,democrat,7715.0,24200,31.880165289256198
43721,2016,Kentucky,KY,Shelby,Hillary Clinton,democrat,6276.0,20580,30.495626822157433
43724,2016,Kentucky,KY,Simpson,Hillary Clinton,democrat,2144.0,7531,28.46899482140486
43727,2016,Kentucky,KY,Spencer,Hillary Clinton,democrat,1921.0,9515,20.18917498686285
43730,2016,Kentucky,KY,Taylor,Hillary Clinton,democrat,2553.0,11306,22.580930479391473
43733,2016,Kentucky,KY,Todd,Hillary Clinton,democrat,1042.0,4779,21.803724628583385
43736,2016,Kentucky,KY,Trigg,Hillary Clinton,democrat,1587.0,6751,23.50762849948156
43739,2016,Kentucky,KY,Trimble,Hillary Clinton,democrat,879.0,3798,23.143759873617693
43742,2016,Kentucky,KY,Union,Hillary Clinton,democrat,1331.0,6211,21.429721461922398
43745,2016,Kentucky,KY,Warren,Hillary Clinton,democrat,16966.0,48454,35.01465307301771
43748,2016,Kentucky,KY,Washington,Hillary Clinton,democrat,1420.0,5636,25.195173882185944
43751,2016,Kentucky,KY,Wayne,Hillary Clinton,democrat,1431.0,7992,17.905405405405407
43754,2016,Kentucky,KY,Webster,Hillary Clinton,democrat,1240.0,5805,21.36089577950043
43757,2016,Kentucky,KY,Whitley,Hillary Clinton,democrat,2067.0,13774,15.006534049658777
43760,2016,Kentucky,KY,Wolfe,Hillary Clinton,democrat,753.0,2635,28.57685009487666
43763,2016,Kentucky,KY,Woodford,Hillary Clinton,democrat,4958.0,13563,36.55533436555334
43766,2016,Louisiana,LA,Acadia,Hillary Clinton,democrat,5638.0,27389,20.584906349264305
43769,2016,Louisiana,LA,Allen,Hillary Clinton,democrat,2106.0,9245,22.779881016765817
43772,2016,Louisiana,LA,Ascension,Hillary Clinton,democrat,16476.0,54678,30.13277735103698
43775,2016,Louisiana,LA,Assumption,Hillary Clinton,democrat,3931.0,10904,36.0509904622157
43778,2016,Louisiana,LA,Avoyelles,Hillary Clinton,democrat,5035.0,16586,30.356927529241528
43781,2016,Louisiana,LA,Beauregard,Hillary Clinton,democrat,2393.0,15078,15.870805146571163
43784,2016,Louisiana,LA,Bienville,Hillary Clinton,democrat,3129.0,7005,44.66809421841542
43787,2016,Louisiana,LA,Bossier,Hillary Clinton,democrat,12641.0,49848,25.359091638581287
43790,2016,Louisiana,LA,Caddo,Hillary Clinton,democrat,53483.0,105804,50.54912857736947
43793,2016,Louisiana,LA,Calcasieu,Hillary Clinton,democrat,26296.0,83785,31.38509279704004
43796,2016,Louisiana,LA,Caldwell,Hillary Clinton,democrat,788.0,4692,16.79454390451833
43799,2016,Louisiana,LA,Cameron,Hillary Clinton,democrat,323.0,3692,8.748645720476707
43802,2016,Louisiana,LA,Catahoula,Hillary Clinton,democrat,1322.0,4856,27.224052718286657
43805,2016,Louisiana,LA,Claiborne,Hillary Clinton,democrat,2717.0,6421,42.31428126460053
43808,2016,Louisiana,LA,Concordia,Hillary Clinton,democrat,3272.0,8872,36.88007213706042
43811,2016,Louisiana,LA,De Soto,Hillary Clinton,democrat,5165.0,13500,38.25925925925926
43814,2016,Louisiana,LA,East Baton Rouge,Hillary Clinton,democrat,102828.0,196491,52.332167885552
43817,2016,Louisiana,LA,East Carroll,Hillary Clinton,democrat,1838.0,2939,62.538278325961215
43820,2016,Louisiana,LA,East Feliciana,Hillary Clinton,democrat,4235.0,10042,42.17287392949612
43823,2016,Louisiana,LA,Evangeline,Hillary Clinton,democrat,4208.0,14882,28.275769385835236
43826,2016,Louisiana,LA,Franklin,Hillary Clinton,democrat,2506.0,9162,27.35210652695918
43829,2016,Louisiana,LA,Grant,Hillary Clinton,democrat,1181.0,8821,13.388504704682008
43832,2016,Louisiana,LA,Iberia,Hillary Clinton,democrat,10698.0,32454,32.963579219818826
43835,2016,Louisiana,LA,Iberville,Hillary Clinton,democrat,8324.0,16043,51.88555756404662
43838,2016,Louisiana,LA,Jackson,Hillary Clinton,democrat,2139.0,7464,28.657556270096464
43841,2016,Louisiana,LA,Jefferson,Hillary Clinton,democrat,73670.0,181639,40.55847037255215
43844,2016,Louisiana,LA,Jefferson Davis,Hillary Clinton,democrat,3080.0,14277,21.5731596273727
43847,2016,Louisiana,LA,Lafayette,Hillary Clinton,democrat,32726.0,105603,30.98964991524862
43850,2016,Louisiana,LA,Lafourche,Hillary Clinton,democrat,8423.0,41645,20.225717373033977
43853,2016,Louisiana,LA,La Salle,Hillary Clinton,democrat,605.0,6569,9.20992540721571
43856,2016,Louisiana,LA,Lincoln,Hillary Clinton,democrat,7107.0,18669,38.06845572874819
43859,2016,Louisiana,LA,Livingston,Hillary Clinton,democrat,6950.0,57730,12.038801316473236
43862,2016,Louisiana,LA,Madison,Hillary Clinton,democrat,2744.0,4732,57.98816568047337
43865,2016,Louisiana,LA,Morehouse,Hillary Clinton,democrat,5155.0,11852,43.494768815389804
43868,2016,Louisiana,LA,Natchitoches,Hillary Clinton,democrat,7144.0,16621,42.98177004993683
43871,2016,Louisiana,LA,Orleans,Hillary Clinton,democrat,133996.0,165812,80.81200395628785
43874,2016,Louisiana,LA,Ouachita,Hillary Clinton,democrat,24428.0,68017,35.91455077407119
43877,2016,Louisiana,LA,Plaquemines,Hillary Clinton,democrat,3347.0,10573,31.656105173555282
43880,2016,Louisiana,LA,Pointe Coupee,Hillary Clinton,democrat,4764.0,11761,40.50675962928322
43883,2016,Louisiana,LA,Rapides,Hillary Clinton,democrat,18322.0,56844,32.23207374568996
43886,2016,Louisiana,LA,Red River,Hillary Clinton,democrat,1938.0,4422,43.82632293080054
43889,2016,Louisiana,LA,Richland,Hillary Clinton,democrat,3157.0,9597,32.89569657184537
43892,2016,Louisiana,LA,Sabine,Hillary Clinton,democrat,1703.0,9787,17.400633493409625
43895,2016,Louisiana,LA,St. Bernard,Hillary Clinton,democrat,4960.0,15815,31.362630414163768
43898,2016,Louisiana,LA,St. Charles,Hillary Clinton,democrat,8559.0,26192,32.677916921197316
43901,2016,Louisiana,LA,St. Helena,Hillary Clinton,democrat,3353.0,5964,56.2206572769953
43904,2016,Louisiana,LA,St. James,Hillary Clinton,democrat,6418.0,12085,53.10715763342987
43907,2016,Louisiana,LA,St. John the Baptist,Hillary Clinton,democrat,12661.0,20743,61.03745841970786
43910,2016,Louisiana,LA,St. Landry,Hillary Clinton,democrat,17209.0,39977,43.04725216999775
43913,2016,Louisiana,LA,St. Martin,Hillary Clinton,democrat,8266.0,25750,32.10097087378641
43916,2016,Louisiana,LA,St. Mary,Hillary Clinton,democrat,8050.0,22877,35.18818026839183
43919,2016,Louisiana,LA,St. Tammany,Hillary Clinton,democrat,27717.0,124392,22.28197954852402
43922,2016,Louisiana,LA,Tangipahoa,Hillary Clinton,democrat,16878.0,52416,32.20009157509158
43925,2016,Louisiana,LA,Tensas,Hillary Clinton,democrat,1332.0,2548,52.27629513343799
43928,2016,Louisiana,LA,Terrebonne,Hillary Clinton,democrat,10665.0,43896,24.29606342263532
43931,2016,Louisiana,LA,Union,Hillary Clinton,democrat,2691.0,10894,24.701670644391406
43934,2016,Louisiana,LA,Vermilion,Hillary Clinton,democrat,4857.0,25632,18.948970037453183
43937,2016,Louisiana,LA,Vernon,Hillary Clinton,democrat,2665.0,16633,16.02236517765887
43940,2016,Louisiana,LA,Washington,Hillary Clinton,democrat,5692.0,18628,30.55615202920335
43943,2016,Louisiana,LA,Webster,Hillary Clinton,democrat,6260.0,18145,34.49986222099752
43946,2016,Louisiana,LA,West Baton Rouge,Hillary Clinton,democrat,5383.0,12712,42.34581497797357
43949,2016,Louisiana,LA,West Carroll,Hillary Clinton,democrat,715.0,4759,15.024164740491699
43952,2016,Louisiana,LA,West Feliciana,Hillary Clinton,democrat,2248.0,5799,38.765304362821176
43955,2016,Louisiana,LA,Winn,Hillary Clinton,democrat,1644.0,6372,25.800376647834273
43958,2016,Maine,ME,Androscoggin,Hillary Clinton,democrat,23009.0,55601,41.38234923832305
43961,2016,Maine,ME,Aroostook,Hillary Clinton,democrat,13386.0,35097,38.14001196683478
43964,2016,Maine,ME,Cumberland,Hillary Clinton,democrat,102981.0,171818,59.936095170471084
43967,2016,Maine,ME,Franklin,Hillary Clinton,democrat,7016.0,16488,42.55215914604561
43970,2016,Maine,ME,Hancock,Hillary Clinton,democrat,16117.0,32130,50.16184251478369
43973,2016,Maine,ME,Kennebec,Hillary Clinton,democrat,29302.0,66208,44.25749154180764
43976,2016,Maine,ME,Knox,Hillary Clinton,democrat,12443.0,23147,53.75642631874541
43979,2016,Maine,ME,Lincoln,Hillary Clinton,democrat,10241.0,21503,47.625912663349304
43982,2016,Maine,ME,Oxford,Hillary Clinton,democrat,12172.0,31201,39.011570141982624
43985,2016,Maine,ME,Penobscot,Hillary Clinton,democrat,32838.0,80540,40.772287062329276
43988,2016,Maine,ME,Piscataquis,Hillary Clinton,democrat,3098.0,9182,33.73992594206056
43991,2016,Maine,ME,Sagadahoc,Hillary Clinton,democrat,10664.0,21616,49.33382679496669
43994,2016,Maine,ME,Somerset,Hillary Clinton,democrat,9092.0,26064,34.88336402701044
43997,2016,Maine,ME,Waldo,Hillary Clinton,democrat,10440.0,22707,45.97701149425287
44000,2016,Maine,ME,Washington,Hillary Clinton,democrat,6075.0,16365,37.12190650779102
44003,2016,Maine,ME,York,Hillary Clinton,democrat,55844.0,114274,48.86850902217477
44006,2016,Maryland,MD,Allegany,Hillary Clinton,democrat,7875.0,30654,25.689958896065768
44009,2016,Maryland,MD,Anne Arundel,Hillary Clinton,democrat,128419.0,270081,47.54832809416435
44012,2016,Maryland,MD,Baltimore,Hillary Clinton,democrat,218412.0,390682,55.905314296537846
44015,2016,Maryland,MD,Calvert,Hillary Clinton,democrat,18225.0,47408,38.44287883901451
44018,2016,Maryland,MD,Caroline,Hillary Clinton,democrat,4009.0,14113,28.406433784454048
44021,2016,Maryland,MD,Carroll,Hillary Clinton,democrat,26567.0,91848,28.924962982318615
