,year,state,state_po,county,candidate,party,candidatevotes,totalvotes,percent_democrat
41672,2016,Georgia,GA,Cherokee,Hillary Clinton,democrat,25231.0,112043,22.519032871308337
41675,2016,Georgia,GA,Clarke,Hillary Clinton,democrat,29603.0,44976,65.8195482034863
41678,2016,Georgia,GA,Clay,Hillary Clinton,democrat,697.0,1273,54.752553024351926
41681,2016,Georgia,GA,Clayton,Hillary Clinton,democrat,78220.0,92859,84.23523837215564
41684,2016,Georgia,GA,Clinch,Hillary Clinton,democrat,686.0,2455,27.94297352342159
41687,2016,Georgia,GA,Cobb,Hillary Clinton,democrat,160121.0,330819,48.40139169757481
41690,2016,Georgia,GA,Coffee,Hillary Clinton,democrat,4094.0,13915,29.421487603305785
41693,2016,Georgia,GA,Colquitt,Hillary Clinton,democrat,3463.0,13624,25.418379330593073
41696,2016,Georgia,GA,Columbia,Hillary Clinton,democrat,18887.0,64743,29.172265727569002
41699,2016,Georgia,GA,Cook,Hillary Clinton,democrat,1753.0,6057,28.94172032359254
41702,2016,Georgia,GA,Coweta,Hillary Clinton,democrat,16583.0,61745,26.85723540367641
41705,2016,Georgia,GA,Crawford,Hillary Clinton,democrat,1421.0,5176,27.453632148377128
41708,2016,Georgia,GA,Crisp,Hillary Clinton,democrat,2837.0,7512,37.76624068157615
41711,2016,Georgia,GA,Dade,Hillary Clinton,democrat,965.0,6242,15.459788529317525
41714,2016,Georgia,GA,Dawson,Hillary Clinton,democrat,1448.0,11765,12.307692307692308
41717,2016,Georgia,GA,Decatur,Hillary Clinton,democrat,4124.0,10286,40.09333074081275
41720,2016,Georgia,GA,DeKalb,Hillary Clinton,democrat,251370.0,314757,79.86160752580562
41723,2016,Georgia,GA,Dodge,Hillary Clinton,democrat,1839.0,7009,26.237694392923384
41726,2016,Georgia,GA,Dooly,Hillary Clinton,democrat,1872.0,3859,48.50997667789583
41729,2016,Georgia,GA,Dougherty,Hillary Clinton,democrat,23311.0,34087,68.38677501686861
41732,2016,Georgia,GA,Douglas,Hillary Clinton,democrat,31005.0,57738,53.69947001974437
41735,2016,Georgia,GA,Early,Hillary Clinton,democrat,2168.0,4785,45.30825496342737
41738,2016,Georgia,GA,Echols,Hillary Clinton,democrat,156.0,1182,13.19796954314721
41741,2016,Georgia,GA,Effingham,Hillary Clinton,democrat,4853.0,23458,20.688038195924634
41744,2016,Georgia,GA,Elbert,Hillary Clinton,democrat,2539.0,7987,31.78915738074371
41747,2016,Georgia,GA,Emanuel,Hillary Clinton,democrat,2435.0,7860,30.979643765903308
41750,2016,Georgia,GA,Evans,Hillary Clinton,democrat,1130.0,3613,31.27594796567949
41753,2016,Georgia,GA,Fannin,Hillary Clinton,democrat,1923.0,11812,16.280054182187605
41756,2016,Georgia,GA,Fayette,Hillary Clinton,democrat,23284.0,60913,38.22500943969268
41759,2016,Georgia,GA,Floyd,Hillary Clinton,democrat,9159.0,34608,26.46497919556172
41762,2016,Georgia,GA,Forsyth,Hillary Clinton,democrat,23462.0,98221,23.886948819498883
41765,2016,Georgia,GA,Franklin,Hillary Clinton,democrat,1243.0,8502,14.620089390731591
41768,2016,Georgia,GA,Fulton,Hillary Clinton,democrat,297051.0,431391,68.85887744528746
41771,2016,Georgia,GA,Gilmer,Hillary Clinton,democrat,1965.0,12773,15.38401315274407
41774,2016,Georgia,GA,Glascock,Hillary Clinton,democrat,138.0,1390,9.928057553956835
41777,2016,Georgia,GA,Glynn,Hillary Clinton,democrat,11775.0,34263,34.36651781805446
41780,2016,Georgia,GA,Gordon,Hillary Clinton,democrat,3181.0,18959,16.778311092357193
41783,2016,Georgia,GA,Grady,Hillary Clinton,democrat,3013.0,9213,32.70378812547487
41786,2016,Georgia,GA,Greene,Hillary Clinton,democrat,3199.0,8852,36.138725711703565
41789,2016,Georgia,GA,Gwinnett,Hillary Clinton,democrat,166153.0,328331,50.60533425110635
41792,2016,Georgia,GA,Habersham,Hillary Clinton,democrat,2483.0,16243,15.286584990457428
41795,2016,Georgia,GA,Hall,Hillary Clinton,democrat,16180.0,70694,22.887373751662093
41798,2016,Georgia,GA,Hancock,Hillary Clinton,democrat,2701.0,3580,75.44692737430168
41801,2016,Georgia,GA,Haralson,Hillary Clinton,democrat,1475.0,11357,12.987584749493704
41804,2016,Georgia,GA,Harris,Hillary Clinton,democrat,4086.0,16502,24.76063507453642
41807,2016,Georgia,GA,Hart,Hillary Clinton,democrat,2585.0,10117,25.55105268360186
41810,2016,Georgia,GA,Heard,Hillary Clinton,democrat,743.0,4223,17.594127397584653
41813,2016,Georgia,GA,Henry,Hillary Clinton,democrat,50057.0,98766,50.68242107607881
41816,2016,Georgia,GA,Houston,Hillary Clinton,democrat,22553.0,60079,37.538907105644235
41819,2016,Georgia,GA,Irwin,Hillary Clinton,democrat,891.0,3670,24.277929155313352
41822,2016,Georgia,GA,Jackson,Hillary Clinton,democrat,4491.0,27190,16.51710187568959
41825,2016,Georgia,GA,Jasper,Hillary Clinton,democrat,1544.0,6045,25.54177005789909
41828,2016,Georgia,GA,Jeff Davis,Hillary Clinton,democrat,901.0,5096,17.680533751962322
41831,2016,Georgia,GA,Jefferson,Hillary Clinton,democrat,3821.0,6968,54.83639494833524
41834,2016,Georgia,GA,Jenkins,Hillary Clinton,democrat,1123.0,3056,36.74738219895288
41837,2016,Georgia,GA,Johnson,Hillary Clinton,democrat,1136.0,3686,30.81931633206728
41840,2016,Georgia,GA,Jones,Hillary Clinton,democrat,3961.0,12551,31.559238307704568
41843,2016,Georgia,GA,Lamar,Hillary Clinton,democrat,2270.0,7612,29.821334734629534
41846,2016,Georgia,GA,Lanier,Hillary Clinton,democrat,806.0,2871,28.073841866945315
41849,2016,Georgia,GA,Laurens,Hillary Clinton,democrat,6752.0,19530,34.57245263696876
41852,2016,Georgia,GA,Lee,Hillary Clinton,democrat,3170.0,14143,22.413915010959485
41855,2016,Georgia,GA,Liberty,Hillary Clinton,democrat,9556.0,16143,59.19593631914761
41858,2016,Georgia,GA,Lincoln,Hillary Clinton,democrat,1273.0,4102,31.033642125792298
41861,2016,Georgia,GA,Long,Hillary Clinton,democrat,1360.0,4117,33.03376244838475
41864,2016,Georgia,GA,Lowndes,Hillary Clinton,democrat,15064.0,37805,39.84658114006084
41867,2016,Georgia,GA,Lumpkin,Hillary Clinton,democrat,2220.0,12425,17.867203219315893
41870,2016,Georgia,GA,McDuffie,Hillary Clinton,democrat,3699.0,9268,39.91152352179543
41873,2016,Georgia,GA,McIntosh,Hillary Clinton,democrat,2303.0,5903,39.01406064712858
41876,2016,Georgia,GA,Macon,Hillary Clinton,democrat,2705.0,4287,63.097737345463024
41879,2016,Georgia,GA,Madison,Hillary Clinton,democrat,2425.0,11998,20.211701950325054
41882,2016,Georgia,GA,Marion,Hillary Clinton,democrat,1213.0,3190,38.025078369905955
41885,2016,Georgia,GA,Meriwether,Hillary Clinton,democrat,3804.0,9217,41.27156341542801
41888,2016,Georgia,GA,Miller,Hillary Clinton,democrat,623.0,2544,24.488993710691823
41891,2016,Georgia,GA,Mitchell,Hillary Clinton,democrat,3493.0,7880,44.32741116751269
41894,2016,Georgia,GA,Monroe,Hillary Clinton,democrat,3571.0,12687,28.14692204618901
41897,2016,Georgia,GA,Montgomery,Hillary Clinton,democrat,847.0,3576,23.685682326621922
41900,2016,Georgia,GA,Morgan,Hillary Clinton,democrat,2663.0,9475,28.105540897097626
41903,2016,Georgia,GA,Murray,Hillary Clinton,democrat,1800.0,12458,14.448547118317547
41906,2016,Georgia,GA,Muscogee,Hillary Clinton,democrat,39851.0,69032,57.7282999188782
41909,2016,Georgia,GA,Newton,Hillary Clinton,democrat,21943.0,43987,49.885193352581446
41912,2016,Georgia,GA,Oconee,Hillary Clinton,democrat,5581.0,20149,27.698645094049333
41915,2016,Georgia,GA,Oglethorpe,Hillary Clinton,democrat,1831.0,6674,27.434821696134254
41918,2016,Georgia,GA,Paulding,Hillary Clinton,democrat,18025.0,64890,27.77777777777778
41921,2016,Georgia,GA,Peach,Hillary Clinton,democrat,5100.0,10752,47.433035714285715
41924,2016,Georgia,GA,Pickens,Hillary Clinton,democrat,1979.0,14038,14.097449779170823
41927,2016,Georgia,GA,Pierce,Hillary Clinton,democrat,903.0,7311,12.351251538777184
41930,2016,Georgia,GA,Pike,Hillary Clinton,democrat,1240.0,8725,14.212034383954157
41933,2016,Georgia,GA,Polk,Hillary Clinton,democrat,2867.0,14215,20.168835736897645
41936,2016,Georgia,GA,Pulaski,Hillary Clinton,democrat,1104.0,3605,30.62413314840499
41939,2016,Georgia,GA,Putnam,Hillary Clinton,democrat,2758.0,9488,29.06829679595278
