,year,state,state_po,county,candidate,party,candidatevotes,totalvotes,percent_republican
42273,2016,Illinois,IL,Douglas,Donald Trump,republican,5698.0,8169,69.751499571551
42276,2016,Illinois,IL,DuPage,Donald Trump,republican,166415.0,428769,38.81227420825666
42279,2016,Illinois,IL,Edgar,Donald Trump,republican,5645.0,7873,71.70074939667217
42282,2016,Illinois,IL,Edwards,Donald Trump,republican,2778.0,3347,82.9997012249776
42285,2016,Illinois,IL,Effingham,Donald Trump,republican,13635.0,17609,77.43199500255551
42288,2016,Illinois,IL,Fayette,Donald Trump,republican,7372.0,9585,76.91184141888368
42291,2016,Illinois,IL,Ford,Donald Trump,republican,4480.0,6396,70.04377736085054
42294,2016,Illinois,IL,Franklin,Donald Trump,republican,13116.0,18711,70.09780343113677
42297,2016,Illinois,IL,Fulton,Donald Trump,republican,8492.0,15797,53.75704247641957
42300,2016,Illinois,IL,Gallatin,Donald Trump,republican,1942.0,2707,71.7399335057259
42303,2016,Illinois,IL,Greene,Donald Trump,republican,4145.0,5585,74.21665174574754
42306,2016,Illinois,IL,Grundy,Donald Trump,republican,13454.0,23237,57.89904032362181
42309,2016,Illinois,IL,Hamilton,Donald Trump,republican,3206.0,4166,76.95631301008162
42312,2016,Illinois,IL,Hancock,Donald Trump,republican,6430.0,9121,70.49665606841356
42315,2016,Illinois,IL,Hardin,Donald Trump,republican,1653.0,2148,76.95530726256983
42318,2016,Illinois,IL,Henderson,Donald Trump,republican,2155.0,3518,61.25639567936327
42321,2016,Illinois,IL,Henry,Donald Trump,republican,13985.0,24643,56.75039564988029
42324,2016,Illinois,IL,Iroquois,Donald Trump,republican,9750.0,13064,74.63257807715861
42327,2016,Illinois,IL,Jackson,Donald Trump,republican,10843.0,24617,44.04679692895154
42330,2016,Illinois,IL,Jasper,Donald Trump,republican,3975.0,5136,77.39485981308411
42333,2016,Illinois,IL,Jefferson,Donald Trump,republican,11695.0,16999,68.79816459791752
42336,2016,Illinois,IL,Jersey,Donald Trump,republican,7748.0,10991,70.49404057865526
42339,2016,Illinois,IL,Jo Daviess,Donald Trump,republican,6121.0,11334,54.00564672666314
42342,2016,Illinois,IL,Johnson,Donald Trump,republican,4649.0,6089,76.35079651831171
42345,2016,Illinois,IL,Kane,Donald Trump,republican,82734.0,199314,41.50937716367139
42348,2016,Illinois,IL,Kankakee,Donald Trump,republican,25129.0,47305,53.1212345418032
42351,2016,Illinois,IL,Kendall,Donald Trump,republican,24961.0,53447,46.70234063651842
42354,2016,Illinois,IL,Knox,Donald Trump,republican,10737.0,22243,48.27136627253518
42357,2016,Illinois,IL,Lake,Donald Trump,republican,109767.0,303520,36.164667896678964
42360,2016,Illinois,IL,LaSalle,Donald Trump,republican,26689.0,49743,53.65378043141749
42363,2016,Illinois,IL,Lawrence,Donald Trump,republican,4521.0,6094,74.18772563176896
42366,2016,Illinois,IL,Lee,Donald Trump,republican,8612.0,15489,55.600748918587385
42369,2016,Illinois,IL,Livingston,Donald Trump,republican,10208.0,15269,66.8544108978977
42372,2016,Illinois,IL,Logan,Donald Trump,republican,8181.0,12401,65.97048625110878
42375,2016,Illinois,IL,McDonough,Donald Trump,republican,6795.0,13092,51.9019248395967
42378,2016,Illinois,IL,McHenry,Donald Trump,republican,71612.0,141750,50.51992945326279
42381,2016,Illinois,IL,McLean,Donald Trump,republican,37237.0,79835,46.642450053234796
42384,2016,Illinois,IL,Macon,Donald Trump,republican,26866.0,48060,55.90095713691219
42387,2016,Illinois,IL,Macoupin,Donald Trump,republican,14322.0,22360,64.05187835420394
42390,2016,Illinois,IL,Madison,Donald Trump,republican,70490.0,130179,54.14851857826532
42393,2016,Illinois,IL,Marion,Donald Trump,republican,11859.0,17074,69.45648354222796
42396,2016,Illinois,IL,Marshall,Donald Trump,republican,3785.0,5984,63.25200534759359
42399,2016,Illinois,IL,Mason,Donald Trump,republican,4058.0,6486,62.56552574776442
42402,2016,Illinois,IL,Massac,Donald Trump,republican,4846.0,6683,72.51234475534939
42405,2016,Illinois,IL,Menard,Donald Trump,republican,4231.0,6515,64.9424405218726
42408,2016,Illinois,IL,Mercer,Donald Trump,republican,4807.0,8525,56.387096774193544
42411,2016,Illinois,IL,Monroe,Donald Trump,republican,12629.0,19354,65.25266094864111
42414,2016,Illinois,IL,Montgomery,Donald Trump,republican,8630.0,12978,66.49714902142087
42417,2016,Illinois,IL,Morgan,Donald Trump,republican,9076.0,14800,61.32432432432432
42420,2016,Illinois,IL,Moultrie,Donald Trump,republican,4455.0,6283,70.90561833519018
42423,2016,Illinois,IL,Ogle,Donald Trump,republican,14352.0,24193,59.322944653412144
42426,2016,Illinois,IL,Peoria,Donald Trump,republican,35633.0,78503,45.390622014445306
42429,2016,Illinois,IL,Perry,Donald Trump,republican,6855.0,9853,69.57271896884197
42432,2016,Illinois,IL,Piatt,Donald Trump,republican,5634.0,9008,62.54440497335702
42435,2016,Illinois,IL,Pike,Donald Trump,republican,5754.0,7530,76.41434262948206
42438,2016,Illinois,IL,Pope,Donald Trump,republican,1678.0,2142,78.33800186741364
42441,2016,Illinois,IL,Pulaski,Donald Trump,republican,1675.0,2735,61.24314442413162
42444,2016,Illinois,IL,Putnam,Donald Trump,republican,1767.0,3111,56.79845708775313
42447,2016,Illinois,IL,Randolph,Donald Trump,republican,10023.0,14194,70.61434408905171
42450,2016,Illinois,IL,Richland,Donald Trump,republican,5739.0,7684,74.68766267568975
42453,2016,Illinois,IL,Rock Island,Donald Trump,republican,26998.0,63994,42.18833015595212
42456,2016,Illinois,IL,St. Clair,Donald Trump,republican,53857.0,120580,44.664952728479015
42459,2016,Illinois,IL,Saline,Donald Trump,republican,8276.0,11384,72.69852424455377
42462,2016,Illinois,IL,Sangamon,Donald Trump,republican,49944.0,98373,50.770028361440644
42465,2016,Illinois,IL,Schuyler,Donald Trump,republican,2524.0,3828,65.93521421107627
42468,2016,Illinois,IL,Scott,Donald Trump,republican,1966.0,2608,75.38343558282209
42471,2016,Illinois,IL,Shelby,Donald Trump,republican,8229.0,11010,74.74114441416894
42474,2016,Illinois,IL,Stark,Donald Trump,republican,1778.0,2743,64.81954064892453
42477,2016,Illinois,IL,Stephenson,Donald Trump,republican,11083.0,20343,54.48065673696112
42480,2016,Illinois,IL,Tazewell,Donald Trump,republican,38707.0,64400,60.10403726708075
42483,2016,Illinois,IL,Union,Donald Trump,republican,5790.0,8537,67.82242005388309
42486,2016,Illinois,IL,Vermilion,Donald Trump,republican,19087.0,30570,62.437029767746154
42489,2016,Illinois,IL,Wabash,Donald Trump,republican,4047.0,5464,74.06661786237188
42492,2016,Illinois,IL,Warren,Donald Trump,republican,4275.0,7807,54.75855001921352
42495,2016,Illinois,IL,Washington,Donald Trump,republican,5571.0,7427,75.01009829002288
42498,2016,Illinois,IL,Wayne,Donald Trump,republican,6967.0,8261,84.33603679941896
42501,2016,Illinois,IL,White,Donald Trump,republican,5640.0,7335,76.89161554192229
42504,2016,Illinois,IL,Whiteside,Donald Trump,republican,12615.0,25582,49.312016261433826
42507,2016,Illinois,IL,Will,Donald Trump,republican,132720.0,300904,44.10709063355755
42510,2016,Illinois,IL,Williamson,Donald Trump,republican,21570.0,31852,67.71945246766295
42513,2016,Illinois,IL,Winnebago,Donald Trump,republican,55624.0,118376,46.9892545786308
42516,2016,Illinois,IL,Woodford,Donald Trump,republican,13207.0,19864,66.48711236407571
42519,2016,Indiana,IN,Adams,Donald Trump,republican,9648.0,13090,73.70511841100075
42522,2016,Indiana,IN,Allen,Donald Trump,republican,83930.0,147137,57.04207643216866
42525,2016,Indiana,IN,Bartholomew,Donald Trump,republican,20640.0,32490,63.52723915050785
42528,2016,Indiana,IN,Benton,Donald Trump,republican,2579.0,3666,70.34915439170759
42531,2016,Indiana,IN,Blackford,Donald Trump,republican,3350.0,4839,69.22917958255837
42534,2016,Indiana,IN,Boone,Donald Trump,republican,19654.0,32178,61.078998073217726
42537,2016,Indiana,IN,Brown,Donald Trump,republican,5016.0,7945,63.13404657016992
42540,2016,Indiana,IN,Carroll,Donald Trump,republican,6273.0,8643,72.57896563693163
42543,2016,Indiana,IN,Cass,Donald Trump,republican,9701.0,14209,68.27362938982336
42546,2016,Indiana,IN,Clark,Donald Trump,republican,30035.0,51147,58.7228967485874
42549,2016,Indiana,IN,Clay,Donald Trump,republican,8531.0,11282,75.61602552738876
42552,2016,Indiana,IN,Clinton,Donald Trump,republican,8531.0,11936,71.47285522788204
42555,2016,Indiana,IN,Crawford,Donald Trump,republican,3015.0,4593,65.64337034617897
42558,2016,Indiana,IN,Daviess,Donald Trump,republican,8545.0,10768,79.35549777117384
42561,2016,Indiana,IN,Dearborn,Donald Trump,republican,18113.0,23987,75.5117355234085
42564,2016,Indiana,IN,Decatur,Donald Trump,republican,8490.0,11127,76.30088972768941
42567,2016,Indiana,IN,DeKalb,Donald Trump,republican,12054.0,16902,71.31700390486333
42570,2016,Indiana,IN,Delaware,Donald Trump,republican,24263.0,45123,53.77080424617158
42573,2016,Indiana,IN,Dubois,Donald Trump,republican,13365.0,19984,66.8785028022418
42576,2016,Indiana,IN,Elkhart,Donald Trump,republican,41867.0,65630,63.79247295444157
42579,2016,Indiana,IN,Fayette,Donald Trump,republican,6839.0,9530,71.76285414480587
42582,2016,Indiana,IN,Floyd,Donald Trump,republican,21432.0,37425,57.26653306613226
42585,2016,Indiana,IN,Fountain,Donald Trump,republican,5662.0,7492,75.57394554191137
42588,2016,Indiana,IN,Franklin,Donald Trump,republican,8669.0,11013,78.71606283483156
42591,2016,Indiana,IN,Fulton,Donald Trump,republican,6010.0,8374,71.76976355385717
42594,2016,Indiana,IN,Gibson,Donald Trump,republican,11081.0,15484,71.56419529837251
42597,2016,Indiana,IN,Grant,Donald Trump,republican,17008.0,25312,67.19342604298356
42600,2016,Indiana,IN,Greene,Donald Trump,republican,10277.0,13801,74.46561843344685
42603,2016,Indiana,IN,Hamilton,Donald Trump,republican,87404.0,154256,56.66165335546105
42606,2016,Indiana,IN,Hancock,Donald Trump,republican,25074.0,36181,69.30156712086453
42609,2016,Indiana,IN,Harrison,Donald Trump,republican,12943.0,18558,69.74350684340985
42612,2016,Indiana,IN,Hendricks,Donald Trump,republican,48337.0,75559,63.97252478195847
42615,2016,Indiana,IN,Henry,Donald Trump,republican,13895.0,20155,68.94070950136442
42618,2016,Indiana,IN,Howard,Donald Trump,republican,23675.0,36843,64.25915370626714
42621,2016,Indiana,IN,Huntington,Donald Trump,republican,11649.0,16043,72.61110764819547
42624,2016,Indiana,IN,Jackson,Donald Trump,republican,12859.0,17573,73.17475672907301
42627,2016,Indiana,IN,Jasper,Donald Trump,republican,9382.0,13378,70.13006428464644
42630,2016,Indiana,IN,Jay,Donald Trump,republican,5697.0,7986,71.3373403456048
42633,2016,Indiana,IN,Jefferson,Donald Trump,republican,8546.0,13544,63.098050797401065
42636,2016,Indiana,IN,Jennings,Donald Trump,republican,8224.0,11150,73.75784753363229
42639,2016,Indiana,IN,Johnson,Donald Trump,republican,45456.0,66500,68.3548872180451
42642,2016,Indiana,IN,Knox,Donald Trump,republican,11077.0,15516,71.39082237690127
42645,2016,Indiana,IN,Kosciusko,Donald Trump,republican,23935.0,32084,74.60104725096622
42648,2016,Indiana,IN,LaGrange,Donald Trump,republican,7025.0,9566,73.43717332218273
42651,2016,Indiana,IN,Lake,Donald Trump,republican,75625.0,201205,37.58604408439154
42654,2016,Indiana,IN,LaPorte,Donald Trump,republican,22687.0,45203,50.189146738048365
42657,2016,Indiana,IN,Lawrence,Donald Trump,republican,14035.0,19152,73.28216374269006
42660,2016,Indiana,IN,Madison,Donald Trump,republican,32376.0,53909,60.05676232169026
42663,2016,Indiana,IN,Marion,Donald Trump,republican,130360.0,362372,35.97408188270617
42666,2016,Indiana,IN,Marshall,Donald Trump,republican,12288.0,18082,67.95708439331932
42669,2016,Indiana,IN,Martin,Donald Trump,republican,3697.0,4809,76.876689540445
42672,2016,Indiana,IN,Miami,Donald Trump,republican,9975.0,13482,73.98753894080997
42675,2016,Indiana,IN,Monroe,Donald Trump,republican,20592.0,58454,35.22770041400075
42678,2016,Indiana,IN,Montgomery,Donald Trump,republican,11059.0,15156,72.9678015307469
42681,2016,Indiana,IN,Morgan,Donald Trump,republican,23674.0,31280,75.68414322250639
42684,2016,Indiana,IN,Newton,Donald Trump,republican,4077.0,5795,70.35375323554788
42687,2016,Indiana,IN,Noble,Donald Trump,republican,12198.0,16890,72.2202486678508
42690,2016,Indiana,IN,Ohio,Donald Trump,republican,2118.0,2921,72.50941458404657
42693,2016,Indiana,IN,Orange,Donald Trump,republican,5803.0,8192,70.83740234375
42696,2016,Indiana,IN,Owen,Donald Trump,republican,6153.0,8557,71.90604183709243
42699,2016,Indiana,IN,Parke,Donald Trump,republican,4863.0,6582,73.88331814038285
42702,2016,Indiana,IN,Perry,Donald Trump,republican,4556.0,8055,56.56114214773432
42705,2016,Indiana,IN,Pike,Donald Trump,republican,4398.0,5977,73.58206458089343
42708,2016,Indiana,IN,Porter,Donald Trump,republican,38832.0,77190,50.3070345899728
42711,2016,Indiana,IN,Posey,Donald Trump,republican,8404.0,12467,67.40996230047325
42714,2016,Indiana,IN,Pulaski,Donald Trump,republican,3854.0,5459,70.59901080784027
42717,2016,Indiana,IN,Putnam,Donald Trump,republican,10637.0,14715,72.28678219503908
42720,2016,Indiana,IN,Randolph,Donald Trump,republican,7517.0,10458,71.87798814304838
42723,2016,Indiana,IN,Ripley,Donald Trump,republican,9806.0,12810,76.5495706479313
42726,2016,Indiana,IN,Rush,Donald Trump,republican,5292.0,7214,73.35736068755199
42729,2016,Indiana,IN,St. Joseph,Donald Trump,republican,52021.0,110060,47.26603670725059
42732,2016,Indiana,IN,Scott,Donald Trump,republican,6074.0,9101,66.73991869025382
42735,2016,Indiana,IN,Shelby,Donald Trump,republican,12718.0,17994,70.67911526064243
42738,2016,Indiana,IN,Spencer,Donald Trump,republican,6572.0,9979,65.85830243511374
42741,2016,Indiana,IN,Starke,Donald Trump,republican,6367.0,9226,69.01148926945588
42744,2016,Indiana,IN,Steuben,Donald Trump,republican,10133.0,14566,69.56611286557737
42747,2016,Indiana,IN,Sullivan,Donald Trump,republican,6138.0,8559,71.71398527865405
42750,2016,Indiana,IN,Switzerland,Donald Trump,republican,2558.0,3699,69.15382535820493
42753,2016,Indiana,IN,Tippecanoe,Donald Trump,republican,30768.0,62515,49.216987922898504
42756,2016,Indiana,IN,Tipton,Donald Trump,republican,5589.0,7510,74.4207723035952
42759,2016,Indiana,IN,Union,Donald Trump,republican,2445.0,3291,74.29352780309935
42762,2016,Indiana,IN,Vanderburgh,Donald Trump,republican,40496.0,72507,55.851159198422216
42765,2016,Indiana,IN,Vermillion,Donald Trump,republican,4513.0,6939,65.03818994091367
42768,2016,Indiana,IN,Vigo,Donald Trump,republican,21937.0,39818,55.09317394143353
42771,2016,Indiana,IN,Wabash,Donald Trump,republican,9821.0,13468,72.92099792099792
42774,2016,Indiana,IN,Warren,Donald Trump,republican,2898.0,3930,73.74045801526718
42777,2016,Indiana,IN,Warrick,Donald Trump,republican,19113.0,29589,64.5949508263206
42780,2016,Indiana,IN,Washington,Donald Trump,republican,8209.0,11382,72.12264979792656
42783,2016,Indiana,IN,Wayne,Donald Trump,republican,16028.0,25579,62.660776418155514
42786,2016,Indiana,IN,Wells,Donald Trump,republican,10005.0,13185,75.88168373151308
42789,2016,Indiana,IN,White,Donald Trump,republican,6893.0,10053,68.56659703571073
42792,2016,Indiana,IN,Whitley,Donald Trump,republican,11358.0,15623,72.70050566472509
42795,2016,Iowa,IA,Adair,Donald Trump,republican,2461.0,3811,64.57622671214904
42798,2016,Iowa,IA,Adams,Donald Trump,republican,1395.0,2106,66.23931623931624
42801,2016,Iowa,IA,Allamakee,Donald Trump,republican,4093.0,6923,59.12176801964466
42804,2016,Iowa,IA,Appanoose,Donald Trump,republican,4033.0,6136,65.72685788787483
42807,2016,Iowa,IA,Audubon,Donald Trump,republican,2136.0,3412,62.60257913247362
42810,2016,Iowa,IA,Benton,Donald Trump,republican,8232.0,13844,59.462583068477315
42813,2016,Iowa,IA,Black Hawk,Donald Trump,republican,27476.0,64405,42.661284061796444
42816,2016,Iowa,IA,Boone,Donald Trump,republican,7484.0,14196,52.71907579599887
42819,2016,Iowa,IA,Bremer,Donald Trump,republican,7208.0,13538,53.24272418377899
42822,2016,Iowa,IA,Buchanan,Donald Trump,republican,5510.0,10252,53.7456106125634
42825,2016,Iowa,IA,Buena Vista,Donald Trump,republican,4903.0,8278,59.22928243537087
42828,2016,Iowa,IA,Butler,Donald Trump,republican,4921.0,7513,65.49980034606682
42831,2016,Iowa,IA,Calhoun,Donald Trump,republican,3468.0,5159,67.22232990889707
42834,2016,Iowa,IA,Carroll,Donald Trump,republican,6638.0,10544,62.95523520485584
42837,2016,Iowa,IA,Cass,Donald Trump,republican,4761.0,7125,66.82105263157895
42840,2016,Iowa,IA,Cedar,Donald Trump,republican,5295.0,9541,55.49732732417986
42843,2016,Iowa,IA,Cerro Gordo,Donald Trump,republican,11621.0,22965,50.6030916612236
42846,2016,Iowa,IA,Cherokee,Donald Trump,republican,4192.0,6258,66.98625759028444
42849,2016,Iowa,IA,Chickasaw,Donald Trump,republican,3742.0,6435,58.15073815073815
42852,2016,Iowa,IA,Clarke,Donald Trump,republican,2713.0,4454,60.91154018859453
42855,2016,Iowa,IA,Clay,Donald Trump,republican,5877.0,8617,68.20239062318673
42858,2016,Iowa,IA,Clayton,Donald Trump,republican,5317.0,9129,58.242961989264984
42861,2016,Iowa,IA,Clinton,Donald Trump,republican,11276.0,23067,48.88368665192699
42864,2016,Iowa,IA,Crawford,Donald Trump,republican,4617.0,6935,66.57534246575342
42867,2016,Iowa,IA,Dallas,Donald Trump,republican,19339.0,38252,50.55683362961414
42870,2016,Iowa,IA,Davis,Donald Trump,republican,2723.0,3882,70.14425553838227
42873,2016,Iowa,IA,Decatur,Donald Trump,republican,2296.0,3734,61.48901981788967
42876,2016,Iowa,IA,Delaware,Donald Trump,republican,5694.0,9241,61.61670814846878
42879,2016,Iowa,IA,Des Moines,Donald Trump,republican,9529.0,19103,49.88221745275611
42882,2016,Iowa,IA,Dickinson,Donald Trump,republican,6753.0,10354,65.2211705621016
42885,2016,Iowa,IA,Dubuque,Donald Trump,republican,23460.0,49721,47.183282717564005
42888,2016,Iowa,IA,Emmet,Donald Trump,republican,3124.0,4753,65.7269093204292
42891,2016,Iowa,IA,Fayette,Donald Trump,republican,5620.0,9975,56.340852130325814
42894,2016,Iowa,IA,Floyd,Donald Trump,republican,4375.0,8060,54.28039702233251
42897,2016,Iowa,IA,Franklin,Donald Trump,republican,3163.0,4968,63.66747181964574
42900,2016,Iowa,IA,Fremont,Donald Trump,republican,2407.0,3595,66.95410292072323
42903,2016,Iowa,IA,Greene,Donald Trump,republican,2820.0,4821,58.49408836341008
42906,2016,Iowa,IA,Grundy,Donald Trump,republican,4527.0,6872,65.87601862630966
42909,2016,Iowa,IA,Guthrie,Donald Trump,republican,3628.0,5750,63.09565217391304
42912,2016,Iowa,IA,Hamilton,Donald Trump,republican,4463.0,7694,58.00623862750195
42915,2016,Iowa,IA,Hancock,Donald Trump,republican,3977.0,5871,67.73973769374894
42918,2016,Iowa,IA,Hardin,Donald Trump,republican,5254.0,8533,61.57271768428454
42921,2016,Iowa,IA,Harrison,Donald Trump,republican,4902.0,7465,65.66644340254521
42924,2016,Iowa,IA,Henry,Donald Trump,republican,5779.0,9404,61.45257337303275
42927,2016,Iowa,IA,Howard,Donald Trump,republican,2611.0,4559,57.27133143233165
42930,2016,Iowa,IA,Humboldt,Donald Trump,republican,3568.0,5087,70.13957145665421
42933,2016,Iowa,IA,Ida,Donald Trump,republican,2655.0,3612,73.50498338870432
42936,2016,Iowa,IA,Iowa,Donald Trump,republican,5205.0,8904,58.45687331536388
42939,2016,Iowa,IA,Jackson,Donald Trump,republican,5824.0,10310,56.48884578079535
42942,2016,Iowa,IA,Jasper,Donald Trump,republican,10560.0,19034,55.47966796259325
42945,2016,Iowa,IA,Jefferson,Donald Trump,republican,3748.0,8156,45.95389897008337
42948,2016,Iowa,IA,Johnson,Donald Trump,republican,21044.0,76940,27.35118273979725
42951,2016,Iowa,IA,Jones,Donald Trump,republican,5720.0,10133,56.44922530346393
42954,2016,Iowa,IA,Keokuk,Donald Trump,republican,3390.0,4985,68.00401203610834
42957,2016,Iowa,IA,Kossuth,Donald Trump,republican,5653.0,8607,65.67909840827234
42960,2016,Iowa,IA,Lee,Donald Trump,republican,8803.0,16151,54.504365054795365
42963,2016,Iowa,IA,Linn,Donald Trump,republican,48390.0,117098,41.3243607918154
42966,2016,Iowa,IA,Louisa,Donald Trump,republican,3069.0,5008,61.28194888178914
42969,2016,Iowa,IA,Lucas,Donald Trump,republican,2877.0,4354,66.07717041800643
42972,2016,Iowa,IA,Lyon,Donald Trump,republican,5192.0,6377,81.41759448016309
42975,2016,Iowa,IA,Madison,Donald Trump,republican,5360.0,8636,62.065771190365915
42978,2016,Iowa,IA,Mahaska,Donald Trump,republican,7432.0,10632,69.90218209179835
42981,2016,Iowa,IA,Marion,Donald Trump,republican,10962.0,17816,61.52896273013022
42984,2016,Iowa,IA,Marshall,Donald Trump,republican,9146.0,17980,50.86763070077864
42987,2016,Iowa,IA,Mills,Donald Trump,republican,5067.0,7698,65.82229150428682
42990,2016,Iowa,IA,Mitchell,Donald Trump,republican,3190.0,5417,58.88868377330626
42993,2016,Iowa,IA,Monona,Donald Trump,republican,3120.0,4572,68.24146981627297
42996,2016,Iowa,IA,Monroe,Donald Trump,republican,2638.0,3865,68.2535575679172
42999,2016,Iowa,IA,Montgomery,Donald Trump,republican,3436.0,5044,68.12053925455987
43002,2016,Iowa,IA,Muscatine,Donald Trump,republican,9584.0,19434,49.3156323968303
43005,2016,Iowa,IA,O'Brien,Donald Trump,republican,5752.0,7406,77.6667566837699
43008,2016,Iowa,IA,Osceola,Donald Trump,republican,2531.0,3213,78.7737317149082
43011,2016,Iowa,IA,Page,Donald Trump,republican,4893.0,7044,69.4633730834753
43014,2016,Iowa,IA,Palo Alto,Donald Trump,republican,3081.0,4703,65.51137571762705
43017,2016,Iowa,IA,Plymouth,Donald Trump,republican,9680.0,13190,73.38893100833965
43020,2016,Iowa,IA,Pocahontas,Donald Trump,republican,2702.0,3865,69.90944372574386
43023,2016,Iowa,IA,Polk,Donald Trump,republican,93492.0,231555,40.375720671114856
43026,2016,Iowa,IA,Pottawattamie,Donald Trump,republican,24447.0,42680,57.27975632614808
43029,2016,Iowa,IA,Poweshiek,Donald Trump,republican,4946.0,9833,50.30001016983626
43032,2016,Iowa,IA,Ringgold,Donald Trump,republican,1824.0,2707,67.38086442556336
43035,2016,Iowa,IA,Sac,Donald Trump,republican,3703.0,5212,71.04758250191865
43038,2016,Iowa,IA,Scott,Donald Trump,republican,39149.0,86220,45.4059382973788
43041,2016,Iowa,IA,Shelby,Donald Trump,republican,4362.0,6370,68.47723704866561
43044,2016,Iowa,IA,Sioux,Donald Trump,republican,14785.0,18194,81.26305375398482
43047,2016,Iowa,IA,Story,Donald Trump,republican,19458.0,50667,38.40369471253479
43050,2016,Iowa,IA,Tama,Donald Trump,republican,4971.0,8752,56.79844606946983
43053,2016,Iowa,IA,Taylor,Donald Trump,republican,2111.0,3029,69.69296797622978
43056,2016,Iowa,IA,Union,Donald Trump,republican,3525.0,5832,60.44238683127572
43059,2016,Iowa,IA,Van Buren,Donald Trump,republican,2527.0,3561,70.96321258073574
43062,2016,Iowa,IA,Wapello,Donald Trump,republican,8715.0,15149,57.52854973925672
43065,2016,Iowa,IA,Warren,Donald Trump,republican,14814.0,27300,54.26373626373626
43068,2016,Iowa,IA,Washington,Donald Trump,republican,6173.0,10929,56.48275231036691
43071,2016,Iowa,IA,Wayne,Donald Trump,republican,2069.0,2940,70.37414965986395
43074,2016,Iowa,IA,Webster,Donald Trump,republican,10056.0,17430,57.693631669535286
43077,2016,Iowa,IA,Winnebago,Donald Trump,republican,3447.0,5787,59.56454121306376
43080,2016,Iowa,IA,Winneshiek,Donald Trump,republican,5344.0,11362,47.03397289209646
43083,2016,Iowa,IA,Woodbury,Donald Trump,republican,24727.0,43718,56.56022690882474
43086,2016,Iowa,IA,Worth,Donald Trump,republican,2453.0,4257,57.622739018087856
43089,2016,Iowa,IA,Wright,Donald Trump,republican,3800.0,6026,63.06007301692665
43092,2016,Kansas,KS,Allen,Donald Trump,republican,3651.0,5454,66.94169416941695
43095,2016,Kansas,KS,Anderson,Donald Trump,republican,2435.0,3350,72.68656716417911
43098,2016,Kansas,KS,Atchison,Donald Trump,republican,4049.0,6575,61.58174904942966
43101,2016,Kansas,KS,Barber,Donald Trump,republican,1850.0,2252,82.14920071047958
43104,2016,Kansas,KS,Barton,Donald Trump,republican,7888.0,10269,76.81371116953939
43107,2016,Kansas,KS,Bourbon,Donald Trump,republican,4424.0,6093,72.60791071721647
43110,2016,Kansas,KS,Brown,Donald Trump,republican,2906.0,4036,72.001982160555
43113,2016,Kansas,KS,Butler,Donald Trump,republican,19073.0,27657,68.96264960046281
43116,2016,Kansas,KS,Chase,Donald Trump,republican,969.0,1369,70.78159240321402
43119,2016,Kansas,KS,Chautauqua,Donald Trump,republican,1236.0,1481,83.45712356515868
43122,2016,Kansas,KS,Cherokee,Donald Trump,republican,6182.0,8620,71.7169373549884
43125,2016,Kansas,KS,Cheyenne,Donald Trump,republican,1173.0,1407,83.36886993603412
43128,2016,Kansas,KS,Clark,Donald Trump,republican,825.0,1005,82.08955223880598
43131,2016,Kansas,KS,Clay,Donald Trump,republican,2891.0,3820,75.68062827225131
43134,2016,Kansas,KS,Cloud,Donald Trump,republican,2919.0,3930,74.27480916030534
43137,2016,Kansas,KS,Coffey,Donald Trump,republican,3050.0,4068,74.97541789577188
43140,2016,Kansas,KS,Comanche,Donald Trump,republican,715.0,867,82.46828143021915
43143,2016,Kansas,KS,Cowley,Donald Trump,republican,8270.0,12621,65.52571111639331
43146,2016,Kansas,KS,Crawford,Donald Trump,republican,8624.0,14891,57.91417634812974
43149,2016,Kansas,KS,Decatur,Donald Trump,republican,1210.0,1452,83.33333333333334
43152,2016,Kansas,KS,Dickinson,Donald Trump,republican,6029.0,8210,73.43483556638246
43155,2016,Kansas,KS,Doniphan,Donald Trump,republican,2606.0,3378,77.14624037892244
43158,2016,Kansas,KS,Douglas,Donald Trump,republican,14688.0,50087,29.32497454429293
43161,2016,Kansas,KS,Edwards,Donald Trump,republican,1037.0,1319,78.62016679302502
43164,2016,Kansas,KS,Elk,Donald Trump,republican,1048.0,1259,83.24066719618745
43167,2016,Kansas,KS,Ellis,Donald Trump,republican,8466.0,11947,70.86297815351135
43170,2016,Kansas,KS,Ellsworth,Donald Trump,republican,1969.0,2679,73.49757372153789
43173,2016,Kansas,KS,Finney,Donald Trump,republican,6350.0,10159,62.506152180332705
43176,2016,Kansas,KS,Ford,Donald Trump,republican,5114.0,7718,66.26068929774553
43179,2016,Kansas,KS,Franklin,Donald Trump,republican,7185.0,10965,65.5266757865937
43182,2016,Kansas,KS,Geary,Donald Trump,republican,4274.0,7504,56.95628997867804
43185,2016,Kansas,KS,Gove,Donald Trump,republican,1140.0,1343,84.88458674609085
43188,2016,Kansas,KS,Graham,Donald Trump,republican,1025.0,1284,79.82866043613707
43191,2016,Kansas,KS,Grant,Donald Trump,republican,1804.0,2389,75.51276684805359
43194,2016,Kansas,KS,Gray,Donald Trump,republican,1698.0,2066,82.18780251694095
43197,2016,Kansas,KS,Greeley,Donald Trump,republican,534.0,650,82.15384615384616
43200,2016,Kansas,KS,Greenwood,Donald Trump,republican,2160.0,2840,76.05633802816901
