,year,state,state_po,county,candidate,party,candidatevotes,totalvotes,percent_republican
41172,2016,Colorado,CO,Archuleta,Donald Trump,republican,4264.0,7339,58.10055865921788
41175,2016,Colorado,CO,Baca,Donald Trump,republican,1753.0,2153,81.42127264282396
41178,2016,Colorado,CO,Bent,Donald Trump,republican,1188.0,1927,61.65023352361183
41181,2016,Colorado,CO,Boulder,Donald Trump,republican,41396.0,188142,22.0025300039332
41184,2016,Colorado,CO,Broomfield,Donald Trump,republican,14367.0,37689,38.11987582583778
41187,2016,Colorado,CO,Chaffee,Donald Trump,republican,5391.0,11250,47.92
41190,2016,Colorado,CO,Cheyenne,Donald Trump,republican,925.0,1102,83.9382940108893
41193,2016,Colorado,CO,Clear Creek,Donald Trump,republican,2575.0,5866,43.897033753835665
41196,2016,Colorado,CO,Conejos,Donald Trump,republican,1914.0,4022,47.58826454500248
41199,2016,Colorado,CO,Costilla,Donald Trump,republican,588.0,1848,31.818181818181817
41202,2016,Colorado,CO,Crowley,Donald Trump,republican,1079.0,1527,70.66142763588736
41205,2016,Colorado,CO,Custer,Donald Trump,republican,2061.0,3066,67.2211350293542
41208,2016,Colorado,CO,Delta,Donald Trump,republican,11655.0,16790,69.41631923764146
41211,2016,Colorado,CO,Denver,Donald Trump,republican,62690.0,331852,18.89095138796813
41214,2016,Colorado,CO,Dolores,Donald Trump,republican,944.0,1255,75.2191235059761
41217,2016,Colorado,CO,Douglas,Donald Trump,republican,102573.0,187499,54.705891764756075
41220,2016,Colorado,CO,Eagle,Donald Trump,republican,8990.0,25223,35.64207271141419
41223,2016,Colorado,CO,Elbert,Donald Trump,republican,11705.0,15978,73.2569783452247
41226,2016,Colorado,CO,El Paso,Donald Trump,republican,179228.0,318967,56.190138791787234
41229,2016,Colorado,CO,Fremont,Donald Trump,republican,15122.0,21973,68.82082555864015
41232,2016,Colorado,CO,Garfield,Donald Trump,republican,13132.0,26470,49.61088024178315
41235,2016,Colorado,CO,Gilpin,Donald Trump,republican,1566.0,3576,43.79194630872483
41238,2016,Colorado,CO,Grand,Donald Trump,republican,4494.0,8588,52.328830926874716
41241,2016,Colorado,CO,Gunnison,Donald Trump,republican,3289.0,9412,34.944751381215475
41244,2016,Colorado,CO,Hinsdale,Donald Trump,republican,339.0,589,57.555178268251275
41247,2016,Colorado,CO,Huerfano,Donald Trump,republican,1883.0,3783,49.77531060005287
41250,2016,Colorado,CO,Jackson,Donald Trump,republican,629.0,861,73.05458768873403
